Date,H_M_S,Hour,WeekDay,Mail,Name,Subject
2023-09-20,00:06:14,00h-01h,Wednesday,no-reply@accounts.google.com,Google,Alerta de seguridad para samekj.jurado@gmail.com
2023-09-19,21:31:09,21h-22h,Tuesday,no-reply@accounts.google.com,Google,Security alert
2023-09-18,17:57:48,17h-18h,Monday,info@meetup.com,Meetup,Top suggestions for you this week
2023-09-18,11:29:48,11h-12h,Monday,administracion@soyhenry.com,Administración Henry,👀Reminder ¡Tenemos una opción de pago para vos! ¡Aprovéchala!
2023-09-18,01:06:55,01h-02h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst (Power BI) en sngular y 19 empleos 
2023-09-18,01:01:32,01h-02h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-09-15,10:34:59,10h-11h,Friday,noreply@kaggle.com,Kaggle,Competition Launch: Open Problems – Single-Cell Perturbations
2023-09-14,14:32:42,14h-15h,Thursday,noreply@kaggle.com,Kaggle,Competition Launch: NeurIPS 2023 - Machine Unlearning
2023-09-14,05:23:20,05h-06h,Thursday,no-reply@t.mail.coursera.org,Coursera,Coursera Plus Cancellation Confirmation
2023-09-13,12:19:00,12h-13h,Wednesday,noreply@kaggle.com,Kaggle,Competition Launch: Stanford Ribonanza RNA Folding
2023-09-13,11:06:47,11h-12h,Wednesday,Coursera@email.coursera.org,Coursera,Earn a certificate from a world-class university
2023-09-12,13:45:38,13h-14h,Tuesday,noreply@kaggle.com,Kaggle,🔦 Monthly Spotlight: New Models on Kaggle to Check Out
2023-09-12,14:31:42,14h-15h,Tuesday,Coursera@email.coursera.org,Coursera,Celebrate your Google Data Analytics Professional Certificate achievement and take these next steps!
2023-09-11,17:29:13,17h-18h,Monday,info@meetup.com,Meetup,Top suggestions for you this week
2023-09-11,12:50:29,12h-13h,Monday,administracion@soyhenry.com,Administración Henry,¡Tenemos una nueva oferta para vos! ¡Aprovéchala!
2023-09-11,07:05:45,07h-08h,Monday,Coursera@email.coursera.org,Coursera Plus,Recommended: Marketing Analytics Foundation
2023-09-11,00:44:03,00h-01h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst Sr en Finvero y 19 empleos 
2023-09-11,00:40:15,00h-01h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-09-09,21:18:00,21h-22h,Saturday,no-reply@t.mail.coursera.org,Coursera,You completed Analyze Data to Answer Questions!
2023-09-09,21:18:00,21h-22h,Saturday,no-reply@t.mail.coursera.org,Coursera,"Congratulations, Your Certificate is Ready!"
2023-09-09,21:06:13,21h-22h,Saturday,no-reply@t.mail.coursera.org,Coursera,"Congratulations, Your Certificate is Ready!"
2023-09-09,21:06:12,21h-22h,Saturday,no-reply@t.mail.coursera.org,Coursera,You completed Share Data Through the Art of Visualization!
2023-09-08,14:36:25,14h-15h,Friday,noreply@kaggle.com,Kaggle,[New Feature] Host Private ML Competitions on Kaggle
2023-09-08,06:20:16,06h-07h,Friday,no-reply@t.mail.coursera.org,Coursera,You completed Google Data Analytics Capstone: Complete a Case Study!
2023-09-08,06:20:16,06h-07h,Friday,no-reply@t.mail.coursera.org,Coursera,"Congratulations, Your Certificate is Ready!"
2023-09-08,01:57:29,01h-02h,Friday,no-reply@t.mail.coursera.org,Coursera,"Congratulations, Your Certificate is Ready!"
2023-09-08,01:57:29,01h-02h,Friday,no-reply@t.mail.coursera.org,Coursera,You completed Data Analysis with R Programming!
2023-09-07,22:03:59,22h-23h,Thursday,no-reply@t.mail.coursera.org,Coursera,Your Coursera Plus upgrade is confirmed
2023-09-06,13:19:27,13h-14h,Wednesday,email@mail.salesforce.com,Salesforce,La cuenta regresiva está en marcha. Dreamforce se acerca.
2023-09-06,12:59:31,12h-13h,Wednesday,info@bethematch.org.mx,Be The Match® México,El poder de decir: SÍ quiero salvar una vida
2023-09-06,11:07:56,11h-12h,Wednesday,Coursera@email.coursera.org,Coursera,"Learn job-ready skills in months, not years"
2023-09-06,09:43:51,09h-10h,Wednesday,noreply@kaggle.com,Kaggle,Competition Launch: Child Mind Institute - Detect Sleep States
2023-09-04,16:12:58,16h-17h,Monday,info@meetup.com,Meetup,Top suggestions for you this week
2023-09-04,09:42:11,09h-10h,Monday,administracion@soyhenry.com,Administración Henry,Propuesta de Cancelación Total de tu AIC por Baja del Programa de Estudio
2023-09-03,23:19:14,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en America Steel Trade Corporation y 16 empleos
2023-09-03,23:15:57,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-09-03,12:02:29,12h-13h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-09-02,12:13:53,12h-13h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-09-01,18:50:55,18h-19h,Friday,info@email.meetup.com,Meetup,📣
2023-09-01,17:26:02,17h-18h,Friday,envios@estadosdecuentatotalplay.com.mx,Totalplay,Estados de Cuenta Totalplay
2023-09-01,09:16:37,09h-10h,Friday,Coursera@email.coursera.org,Coursera,Live 9/13: Explore global trends shaping learning and work
2023-09-01,12:05:24,12h-13h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-31,14:07:37,14h-15h,Thursday,Coursera@email.coursera.org,Coursera,Gain job-ready Power BI and MS Excel skills
2023-08-31,06:02:04,06h-07h,Thursday,announce@parallels-universe.com,"Parallels, Inc.",¡Recién lanzado! Parallels Desktop v19: Nuevas funciones compatibles con Apple silicon y el macOS más reciente.   
2023-08-30,14:08:16,14h-15h,Wednesday,alumnos@soyhenry.com,,Baja de Henry
2023-08-30,08:24:04,08h-09h,Wednesday,linkedin@e.linkedin.com,Nikita @ LinkedIn Learning,"Samekj, redeem these three (3) unlocked courses - offer expires in 7 days"
2023-08-30,11:22:33,11h-12h,Wednesday,Coursera@email.coursera.org,Coursera,Grow your career with job-ready learning
2023-08-30,06:02:53,06h-07h,Wednesday,announce@parallels-universe.com,"Parallels, Inc.","¡NOVEDAD! Parallels Desktop 19: optimizado para macOS Sonoma, inicio de sesión con Touch ID  "
2023-08-29,15:12:49,15h-16h,Tuesday,noreply@kaggle.com,Kaggle,Competition Launch: Google - Fast or Slow? Predict AI Model Runtime
2023-08-29,13:49:01,13h-14h,Tuesday,announce@parallels-universe.com,"Parallels, Inc.","¡NOVEDAD! Parallels Desktop 19: optimizado para macOS Sonoma, inicio de sesión con Touch ID  "
2023-08-29,09:34:45,09h-10h,Tuesday,noreply@kaggle.com,Kaggle,[Invitation] Join Kaggle’s New Discord Server 💬
2023-08-29,16:02:49,16h-17h,Tuesday,info@email.meetup.com,Meetup,New challenge: Choose your team
2023-08-29,13:07:23,13h-14h,Tuesday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-28,13:05:15,13h-14h,Monday,announce@parallels-universe.com,"Parallels, Inc.","¡NUEVA VERSIÓN! Actualice a Parallels Desktop v19. Optimizado para macOS Sonoma, inicio de sesión con Touch ID.   "
2023-08-28,20:15:29,20h-21h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-28,16:51:54,16h-17h,Monday,info@meetup.com,Meetup,Top suggestions for you this week
2023-08-27,23:35:56,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst Marketing Digital en Antevenio
2023-08-27,23:30:30,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-27,22:01:38,22h-23h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-26,09:14:48,09h-10h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-25,14:03:00,14h-15h,Friday,no-reply@email.coursera.org,Coursera Lite,4-minute Coursera Lite survey
2023-08-25,14:00:28,14h-15h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-24,20:28:26,20h-21h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-23,13:05:48,13h-14h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-22,14:50:03,14h-15h,Tuesday,noreply@kaggle.com,Kaggle,[Invitation] Google Cloud Next 2023
2023-08-22,17:05:07,17h-18h,Tuesday,info@email.meetup.com,Meetup,Introducing new & improved member profiles 
2023-08-22,06:04:00,06h-07h,Tuesday,announce@parallels-universe.com,"Parallels, Inc.",¡Recién lanzado! Parallels Desktop v19: optimizado para macOS Sonoma  
2023-08-22,00:26:57,00h-01h,Tuesday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-21,11:35:28,11h-12h,Monday,Coursera@email.coursera.org,Coursera,You’ve got this! Your Google certificate is waiting.
2023-08-21,14:36:15,14h-15h,Monday,info@meetup.com,Meetup,Top suggestions for you this week
2023-08-21,02:12:42,02h-03h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-20,23:26:40,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en IM Consulting y 16 empleos 
2023-08-20,23:23:44,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-20,00:43:41,00h-01h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-19,23:21:02,23h-24h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en AXA y 17 empleos 
2023-08-19,23:16:36,23h-24h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-19,06:13:43,06h-07h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-18,23:19:30,23h-24h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en Copeland y 17 empleos 
2023-08-18,23:15:46,23h-24h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-18,08:44:06,08h-09h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-17,19:31:34,19h-20h,Thursday,Coursera@email.coursera.org,Coursera,Get your Microsoft Cybersecurity Certificate
2023-08-17,23:43:01,23h-24h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst Sr. en MOVIRO y 18 empleos 
2023-08-17,23:39:48,23h-24h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
